Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Birth Month,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Stefano Tempesti,Italy,33,205,99,M,6/9/1979,6,PRATO (ITA),0,0,0,0,Water Polo,Men's Water Polo
Tonu Endrekson,Estonia,33,198,104,M,6/11/1979,6,,0,0,0,0,Rowing,Men's Quadruple Sculls
Kalman Kadar,Romania,33,190,84,M,6/11/1979,6,ORADEA (ROU),0,0,0,0,Water Polo,Men's Water Polo
Martine Dugrenier,Canada,33,166,63,F,6/12/1979,6,Montreal (CAN),0,0,0,0,Wrestling,Women's 63kg Freestyle
Yumari Gonzalez Valdivieso,Cuba,33,,,F,6/13/1979,6,Sancti Spiritus (CUB),0,0,0,0,Cycling - Road,Women's Road Race
Saralee Thoungthongkam,Thailand,33,163,50,F,6/13/1979,6,BANGKOK,0,0,0,0,Badminton,Mixed Doubles
Murilo Antonio Fischer,Brazil,33,,67,M,6/16/1979,6,BRUSQUE (BRA),0,0,0,0,Cycling - Road,Men's Road Race
Gioia Marzocca,Italy,33,169,59,F,6/22/1979,6,,0,0,0,0,Fencing,Women's Individual Sabre
Marilyn Agliotti,Netherlands,33,171,61,F,6/23/1979,6,BOKSBURG (RSA),0,0,0,0,Hockey,Women's Hockey
Elia Luini,Italy,33,183,72,M,6/23/1979,6,,0,0,0,0,Rowing,Men's Lightweight Double Sculls
Clemilda Fernandes Silva,Brazil,33,167,52,F,6/25/1979,6,SAO FELIX   DO ARAGU (BRA),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Marianna Lymperta,Greece,33,167,53,F,6/25/1979,6,CHOLARGOS (GRE),0,0,0,0,Swimming,Women's 10km Marathon
Emmanuel Dyen,France,33,180,70,M,6/29/1979,6,Aix Les Bains (FRA),0,0,0,0,Sailing,Men's 49er
Marleen Veldhuis,Netherlands,33,182,67,F,6/29/1979,6,BORNE (NED),0,1,0,1,Swimming,"Women's 50m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
Sylvain Chavanel,France,33,181,70,M,6/30/1979,6,CHATELLERAULT (FRA),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Etienne Stott,Great Britain,33,182,83,M,6/30/1979,6,Manchester (GBR),1,0,0,1,Canoe Slalom,Men's Canoe Double (C2)
Kristy Hill,New Zealand,33,179,68,F,7/1/1979,7,,0,0,0,0,Football,Women's Football
Dzmitry Meliakh,Belarus,33,178,71,M,7/2/1979,7,Minsk (BLR),0,0,0,0,Modern Pentathlon,Men's Modern Pentathlon
David Mckienzie,United States of America,33,193,101,M,7/5/1979,7,Denver (USA),0,0,0,0,Volleyball,Men's Volleyball
Matias Vila,Argentina,33,175,76,M,7/7/1979,7,,0,0,0,0,Hockey,Men's Hockey
Loudy Wiggins,Australia,33,147,44,F,7/7/1979,7,HAIFA (ISR),0,0,0,0,Diving,Women's Synchronised 10m Platform
Adelinde Cornelissen,Netherlands,33,170,56,F,7/8/1979,7,BEILEN (NED),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, PARZIVAL"
Lesyani Mayor,Cuba,33,,,F,7/8/1979,7,Camaguey (CUB),0,0,0,0,Athletics,Women's High Jump
Paulo Roberto Paula,Brazil,33,,,M,7/8/1979,7,PACAEMBU (BRA),0,0,0,0,Athletics,Men's Marathon
Zhizhi Wang,People's Republic of China,33,215,110,M,7/8/1979,7,,0,0,0,0,Basketball,Men's Basketball
Tobias Unger,Germany,33,180,74,M,7/10/1979,7,Munchen (GER),0,0,0,0,Athletics,Men's 4 x 100m Relay
Freedom Chiya,South Africa,33,186,93,M,7/11/1979,7,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Craig Bellamy,Great Britain,33,175,64,M,7/13/1979,7,,0,0,0,0,Football,Men's Football
Ger Owens,Ireland,33,175,61,M,7/13/1979,7,Dublin (IRL),0,0,0,0,Sailing,Men's 470
Silvia Weissteiner,Italy,33,163,47,F,7/13/1979,7,Vipiteno (ITA),0,0,0,0,Athletics,Women's 5000m
Kimberly Rhode,United States of America,33,163,83,F,7/16/1979,7,Whittier (USA),1,0,0,1,Shooting,"Women's Trap, Women's Skeet"
Arles Antonio Castro Laverde,Colombia,33,170,62,M,7/17/1979,7,URRAO (COL),0,0,0,0,Cycling - Track,Men's Team Pursuit
Johana Beatriz Fuenmayor Choles,Venezuela,33,154,48,F,7/17/1979,7,,0,0,0,0,Fencing,Women's Individual Foil
Juan Manuel Vivaldi,Argentina,33,180,80,M,7/17/1979,7,,0,0,0,0,Hockey,Men's Hockey
Ihar Makarau,Belarus,33,182,130,M,7/20/1979,7,KEMRI (RUS),0,0,0,0,Judo,Men's +100kg
Artur Taymazov,Uzbekistan,33,175,120,M,7/20/1979,7,RUSSIA (RUS),0,0,0,0,Wrestling,Men's 120kg Freestyle
Vanessa Veiga,Spain,33,159,43,F,7/20/1979,7,GONDOMAR (ESP),0,0,0,0,Athletics,Women's Marathon
Tine Baun,Denmark,33,181,71,F,7/21/1979,7,HORSHOLM,0,0,0,0,Badminton,Women's Singles
Tamika Catchings,United States of America,33,188,77,F,7/21/1979,7,,0,0,0,0,Basketball,Women's Basketball
Phelan Hill,Great Britain,33,171,55,M,7/21/1979,7,,0,0,1,1,Rowing,Men's Eight
Ganzi Mugula,Uganda,33,178,65,M,7/24/1979,7,NAMIREMBE (UGA),0,0,0,0,Swimming,Men's 50m Freestyle
Bo Spellerberg,Denmark,33,192,95,M,7/24/1979,7,,0,0,0,0,Handball,Men's Handball
Yuko Sano,Japan,33,159,53,F,7/26/1979,7,TAKATSUKI (JPN),0,0,0,0,Volleyball,Women's Volleyball
Ivan Tymko,Ukraine,33,198,98,M,7/26/1979,7,,0,0,0,0,Rowing,Men's Eight
Brad Kahlefeldt,Australia,33,183,67,M,7/27/1979,7,Temora (AUS),0,0,0,0,Triathlon,Men's Triathlon
Reid Coolsaet,Canada,33,175,62,M,7/29/1979,7,Hamilton (CAN),0,0,0,0,Athletics,Men's Marathon
Issam Tej,Tunisia,33,187,110,M,7/29/1979,7,,0,0,0,0,Handball,Men's Handball
Yeny Contreras Loyola,Chile,33,163,,F,8/2/1979,8,CORONEL (CHI),0,0,0,0,Taekwondo,Women's -57kg
Margot Shumway,United States of America,33,180,78,F,8/2/1979,8,,0,0,0,0,Rowing,Women's Double Sculls
Carl Henriquez,Aruba,32,178,110,M,8/8/1979,8,ARUBA (ARU),0,0,0,0,Weightlifting,Men's +105kg
Gudjon Valur Sigurdsson,Iceland,32,188,85,M,8/8/1979,8,,0,0,0,0,Handball,Men's Handball
Jose Antonio Guerra,Cuba,32,,,M,8/9/1979,8,Santiago de Cuba (CUB),0,0,0,0,Diving,"Men's 10m Platform, Men's Synchronised 10m Platform"
David Crawshay,Australia,32,191,93,M,8/11/1979,8,,0,0,0,0,Rowing,Men's Double Sculls
Luis Felipe Meliz,Spain,32,182,78,M,8/11/1979,8,Santa Clara (ESP),0,0,0,0,Athletics,Men's Long Jump
Austra Skujyte,Lithuania,32,188,77,F,8/12/1979,8,Birzai (LTU),0,0,0,0,Athletics,Women's Heptathlon
Viorica Tigau,Romania,32,172,64,F,8/12/1979,8,GALATI (ROU),0,0,0,0,Athletics,Women's Long Jump
Rubens Valeriano,Brazil,32,,,M,8/14/1979,8,SAO PEDRO DA UNIAO (BRA),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Courtney Atkinson,Australia,32,176,68,M,8/15/1979,8,Mackay (AUS),0,0,0,0,Triathlon,Men's Triathlon
Gonzalo Matias Carou,Argentina,32,194,103,M,8/15/1979,8,,0,0,0,0,Handball,Men's Handball
Christine Amertil,Bahamas,32,168,54,F,8/18/1979,8,Nassau (BAH),0,0,0,0,Athletics,Women's 4 x 100m Relay
Alexander Mikhaylin,Russian Federation,32,195,115,M,8/18/1979,8,Moscow (RUS),0,1,0,1,Judo,Men's +100kg
Boyd Martin,United States of America,32,185,68,M,8/20/1979,8,AUS (AUS),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, OTIS BARBOTIERE"
Virginie Caulier,Belgium,32,176,65,F,8/22/1979,8,BOUSSU (BEL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, NEPAL DU SUDRE"
Klodiana Shala,Albania,32,,,F,8/22/1979,8,Tiranë (ALB),0,0,0,0,Athletics,Women's 200m
Saskia Clark,Great Britain,32,176,68,F,8/23/1979,8,COLCHESTER (GBR),0,0,0,0,Sailing,Women's 470
Przemyslaw Miarczynski,Poland,32,185,79,M,8/26/1979,8,GDANSK (POL),0,0,0,0,Sailing,Men's RS-X
Ole Bischof,Germany,32,180,81,M,8/27/1979,8,REUTLINGEN (GER),0,1,0,1,Judo,Men's -81kg
Jens Lundqvist,Sweden,32,181,85,M,8/29/1979,8,Staffan (SWE),0,0,0,0,Table Tennis,Men's Team
Kinapeya Romeo Kone,Côte d'Ivoire,32,180,90,M,9/1/1979,9,KORHOGO,0,0,0,0,Judo,Men's -90kg
Karam Mohamed Gaber Ebrahim,Egypt,32,182,84,M,9/1/1979,9,Alexandria (EGY),0,0,0,0,Wrestling,Men's 84kg Greco-Roman
Ju Lin,Dominican Republic,32,173,79,M,9/1/1979,9,FUJIAN,0,0,0,0,Table Tennis,Men's Singles
Dieudonne Dolassem,Cameroon,32,181,88,M,9/4/1979,9,Yaoundé (CMR),0,0,0,0,Judo,Men's -90kg
Xavier Valles Trias,Spain,32,191,104,M,9/4/1979,9,Sabadell (ESP),0,0,0,0,Water Polo,Men's Water Polo
Jorge Hugo Giraldo Lopez,Colombia,32,163,,M,9/5/1979,9,MEDELLIN,0,0,0,0,Gymnastics - Artistic,Men's Qualification
Sonja Scheibl,Germany,32,163,66,F,9/5/1979,9,BAD OLDESLOE (GER),0,0,0,0,Shooting,Women's Trap
Keith Ferguson,Australia,32,176,80,M,9/7/1979,9,Sale (AUS),0,0,0,0,Shooting,Men's Skeet
Pavol Hochschorner,Slovakia,32,176,75,M,9/7/1979,9,Bratislava (SVK),0,0,1,1,Canoe Slalom,Men's Canoe Double (C2)
Peter Hochschorner,Slovakia,32,188,87,M,9/7/1979,9,Bratislava (SVK),0,0,1,1,Canoe Slalom,Men's Canoe Double (C2)
Vasileios Tsolakidis,Greece,32,176,,M,9/9/1979,9,Thessaloniki (GRE),0,0,0,0,Gymnastics - Artistic,Men's Qualification
Hana Horakova,Czech Republic,32,179,71,F,9/11/1979,9,,0,0,0,0,Basketball,Women's Basketball
Denisse van Lamoen,Chile,32,157,51,F,9/12/1979,9,ARICA,0,0,0,0,Archery,Women's Individual
Rie Katayama,Japan,32,157,48,F,9/13/1979,9,KUMENAN (JPN),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Jillian Schwartz,Israel,32,173,63,F,9/19/1979,9,ILINOS (USA),0,0,0,0,Athletics,Women's Pole Vault
Wilfried Tevoedjre,Benin,32,180,,M,9/20/1979,9,COTONOU (BEN),0,0,0,0,Swimming,Men's 50m Freestyle
Swin Cash,United States of America,32,183,77,F,9/22/1979,9,,0,0,0,0,Basketball,Women's Basketball
Jongoh Jin,Republic of Korea,32,175,72,M,9/24/1979,9,Gangwon (KOR),1,0,0,1,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Bruno Fontes,Brazil,32,175,83,M,9/25/1979,9,Curitiba (BRA),0,0,0,0,Sailing,Men's Laser
Rozle Prezelj,Slovenia,32,195,80,M,9/26/1979,9,Maribor (SLO),0,0,0,0,Athletics,Men's High Jump
Noraseela Mohd Khalid,Malaysia,32,166,55,F,9/27/1979,9,PULAU PINANG (MAS),0,0,0,0,Athletics,Women's 400m Hurdles
Jae Woo Lee,Republic of Korea,32,181,88,M,9/28/1979,9,,0,0,0,0,Handball,Men's Handball
Sandra Sassine,Canada,32,170,60,F,9/28/1979,9,,0,0,0,0,Fencing,Women's Individual Sabre
Yuri Patrikeev,Armenia,32,187,120,M,9/28/1979,9,KIROVOCHIPEKS (RUS),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Sacha Denanyoh,Togo,32,176,81,M,9/29/1979,9,Lome (TOG),0,0,0,0,Judo,Men's -81kg
Jaroslav Volf,Czech Republic,32,178,77,M,9/29/1979,9,BRANDYS NAD LABEM (CZE),0,0,0,0,Canoe Slalom,Men's Canoe Double (C2)
Primoz Kozmus,Slovenia,32,188,112,M,9/30/1979,9,Novo Mesto (SLO),0,0,0,0,Athletics,Men's Hammer Throw
Lyudmila Kolchanova,Russian Federation,32,175,64,F,10/1/1979,10,KOSTROMA REGION (RUS),0,0,0,0,Athletics,Women's Long Jump
Yann Cucherat,France,32,171,,M,10/2/1979,10,Lyon (FRA),0,0,0,0,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Andrea St Bernard,Grenada,32,175,,F,10/2/1979,10,ST. GEORGE'S (GRN),0,0,0,0,Taekwondo,Women's -67kg
Sergio Alvarez Boulet,Cuba,32,,56,M,10/11/1979,10,Matanzas,0,0,0,0,Weightlifting,Men's 56kg
Marina Damlaimcourt,Spain,32,156,46,F,10/15/1979,10,Madrid (ESP),0,0,0,0,Triathlon,Women's Triathlon
Andrea Mayr,Austria,32,175,54,F,10/15/1979,10,Wels (AUT),0,0,0,0,Athletics,Women's Marathon
Alexandros Nikolaidis,Greece,32,200,,M,10/17/1979,10,Thessaloniki (GRE),0,0,0,0,Taekwondo,Men's +80kg
Ana Pouhila,Tonga,32,,,F,10/18/1979,10,NEIAFU (TGA),0,0,0,0,Athletics,Women's Shot Put
Carl Myerscough,Great Britain,32,208,160,M,10/21/1979,10,BLACKPOOL (GBR),0,0,0,0,Athletics,"Men's Shot Put, Men's Discus Throw"
Daniel Noonan,Australia,32,187,90,M,10/28/1979,10,,0,0,1,1,Rowing,Men's Quadruple Sculls
Lihua Gao,People's Republic of China,32,165,57,F,10/31/1979,10,Liaoning (CHN),0,0,0,0,Hockey,Women's Hockey
Marius Paskevicius,Lithuania,32,198,115,M,10/31/1979,10,UKMERGE (LTU),0,0,0,0,Judo,Men's +100kg
Rachel Yankey,Great Britain,32,164,56,F,11/1/1979,11,,0,0,0,0,Football,Women's Football
James Chapman,Australia,32,190,90,M,11/2/1979,11,,0,0,0,0,Rowing,Men's Four
Sergii Chykanov,Ukraine,32,193,103,M,11/3/1979,11,,0,0,0,0,Rowing,Men's Eight
Peter Crawford,Australia,32,193,88,M,11/6/1979,11,,0,0,0,0,Basketball,Men's Basketball
George Gogshelidze,Georgia,32,185,96,M,11/7/1979,11,GORI (GEO),0,0,0,0,Wrestling,Men's 96kg Freestyle
Corinne Maitrejean,France,32,170,53,F,11/8/1979,11,,0,0,0,0,Fencing,"Women's Individual Foil, Women's Team Foil"
Marcelina Kiala,Angola,32,177,84,F,11/9/1979,11,,0,0,0,0,Handball,Women's Handball
Yulis Mercedes Reyes,Dominican Republic,32,163,,M,11/12/1979,11,MONTE PLATA (DOM),0,0,0,0,Taekwondo,Men's -58kg
Cian O'Connor,Ireland,32,178,82,M,11/12/1979,11,Dublin (IRL),0,0,0,0,Equestrian,"Individual Jumping, BLUE LOYD 12"
Ahmed Saleh,Egypt,32,179,84,M,11/14/1979,11,GIZA (EGY),0,0,0,0,Table Tennis,Men's Team
Edna Ngeringwony Kiplagat,Kenya,32,162,50,F,11/15/1979,11,Uasin Gishu (KEN),0,0,0,0,Athletics,Women's Marathon
Xavier Moreno,Ecuador,32,168,52,M,11/15/1979,11,QUITO (ECU),0,0,0,0,Athletics,Men's 50km Race Walk
Kateryna Burmistrova,Ukraine,32,170,75,F,11/20/1979,11,Sumy (UKR),0,0,0,0,Wrestling,Women's 72kg Freestyle
Bojana Popovic,Montenegro,32,185,74,F,11/20/1979,11,,0,0,0,0,Handball,Women's Handball
Arpad Sterbik Capar,Spain,32,200,118,M,11/20/1979,11,,0,0,0,0,Handball,Men's Handball
Anastasiya Kapachinskaya,Russian Federation,32,178,63,F,11/21/1979,11,Moscow (RUS),0,0,0,0,Athletics,Women's 4 x 400m Relay
Maria Sidorova,Russian Federation,32,178,74,F,11/21/1979,11,,0,0,0,0,Handball,Women's Handball
Teresa Gabriele,Canada,32,165,61,F,11/23/1979,11,,0,0,0,0,Basketball,Women's Basketball
Carmelita Jeter,United States of America,32,163,59,F,11/24/1979,11,Los Angeles (USA),0,0,0,0,Athletics,"Women's 100m, Women's 200m, Women's 4 x 100m Relay"
Thomas Lurz,Germany,32,183,76,M,11/28/1979,11,Wurzburg (GER),0,0,0,0,Swimming,Men's 10km Marathon
Ondrej Stepanek,Czech Republic,32,171,77,M,11/28/1979,11,BRANDYS NAD LABEM (CZE),0,0,0,0,Canoe Slalom,Men's Canoe Double (C2)
Andres Nocioni,Argentina,32,202,102,M,11/30/1979,11,,0,0,0,0,Basketball,Men's Basketball
Stephanie Brown Trafton,United States of America,32,193,93,F,12/1/1979,12,San Luis Obispo (USA),0,0,0,0,Athletics,Women's Discus Throw
Lyn Byl,Great Britain,32,172,67,F,12/1/1979,12,,0,0,0,0,Handball,Women's Handball
Norbert Madaras,Hungary,32,191,91,M,12/1/1979,12,,0,0,0,0,Water Polo,Men's Water Polo
Frederic Fokejou Tefot,Cameroon,32,187,105,M,12/3/1979,12,BAGAM (CMR),0,0,0,0,Weightlifting,Men's +105kg
Karolina Michalczuk,Poland,32,164,,F,12/6/1979,12,JASZCZOW (POL),0,0,0,0,Boxing,Women's Fly (51kg)
Joydeep Karmakar,India,32,,,M,12/7/1979,12,Kolkata (IND),0,0,0,0,Shooting,Men's 50m Rifle Prone
Myung Ho Lee,Republic of Korea,32,178,85,M,12/10/1979,12,,0,0,0,0,Hockey,Men's Hockey
Natalia Rusakova,Russian Federation,32,180,68,F,12/12/1979,12,Leningrad (RUS),0,0,0,0,Athletics,"Women's 200m, Women's 4 x 100m Relay"
Cedric Houssaye,France,32,178,65,M,12/13/1979,12,TROUVILLE,0,0,0,0,Athletics,Men's 50km Race Walk
Rene Philippe Kouassi,Côte d'Ivoire,32,190,77,M,12/14/1979,12,ADZOPE,0,0,0,0,Archery,Men's Individual
Daniel Narcisse,France,32,189,93,M,12/16/1979,12,,0,0,0,0,Handball,Men's Handball
Rosaria Console,Italy,32,166,50,F,12/17/1979,12,MARTINA FRANCA (ITA),0,0,0,0,Athletics,Women's Marathon
Michael Rogers,Australia,32,185,72,M,12/20/1979,12,BARHAM (AUS),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Vadzim Makhneu,Belarus,32,196,100,M,12/21/1979,12,,0,0,0,0,Canoe Sprint,Men's Kayak Double (K2) 200m
Eleonora Lo Bianco,Italy,32,171,67,F,12/22/1979,12,Borgomanero (ITA),0,0,0,0,Volleyball,Women's Volleyball
Yukifumi Murakami,Japan,32,185,97,M,12/23/1979,12,IKINA (JPN),0,0,0,0,Athletics,Men's Javelin Throw
Simone Collio,Italy,32,180,77,M,12/27/1979,12,CERNUSCO SUL NAVIGLIO (ITA),0,0,0,0,Athletics,Men's 4 x 100m Relay
Donna Vakalis,Canada,32,164,53,F,12/30/1979,12,Toronto (CAN),0,0,0,0,Modern Pentathlon,Women's Modern Pentathlon
Beatriz Gomes,Portugal,32,168,67,F,12/31/1979,12,,0,0,0,0,Canoe Sprint,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m"
Natalia Shipilova,Russian Federation,32,181,80,F,12/31/1979,12,,0,0,0,0,Handball,Women's Handball
Deli Liu,People's Republic of China,32,202,120,M,1/1/1980,1,Heilongjiang (CHN),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Andrea Barno San Martin,Spain,32,175,64,F,1/4/1980,1,,0,0,0,0,Handball,Women's Handball
Georgia Gould,United States of America,32,175,61,F,1/5/1980,1,Baltimore (USA),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Panagiotis Gionis,Greece,32,187,82,M,1/7/1980,1,Marousi (GRE),0,0,0,0,Table Tennis,Men's Singles
Fernanda Ferreira,Brazil,32,172,66,F,1/10/1980,1,,0,0,0,0,Volleyball,Women's Volleyball
Dmitriy Karuchenko,Ukraine,32,180,78,M,1/15/1980,1,,0,0,0,0,Fencing,Men's Individual Epee
Wei Liu,People's Republic of China,32,190,86,M,1/15/1980,1,,0,0,0,0,Basketball,Men's Basketball
Lars Ytting Bak,Denmark,32,190,76,M,1/16/1980,1,SILKEBORG (DEN),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Hassan Hirt,France,32,178,65,M,1/16/1980,1,SAINT DIZIER (FRA),0,0,0,0,Athletics,Men's 5000m
Sergey Kirdyapkin,Russian Federation,32,177,54,M,1/16/1980,1,MORDOVIA REGION (RUS),0,0,0,0,Athletics,Men's 50km Race Walk
Gregory Rast,Switzerland,32,186,80,M,1/17/1980,1,Cham (SUI),0,0,0,0,Cycling - Road,Men's Road Race
Yun Cai,People's Republic of China,32,182,72,M,1/19/1980,1,Jiangsu,0,0,0,0,Badminton,Men's Doubles
Anna Incerti,Italy,32,168,45,F,1/19/1980,1,Palermo (ITA),0,0,0,0,Athletics,Women's Marathon
Saehyuk Joo,Republic of Korea,32,180,67,M,1/20/1980,1,Seoul,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Karsten Forsterling,Australia,32,191,88,M,1/21/1980,1,,0,0,1,1,Rowing,Men's Quadruple Sculls
Jeff Powers,United States of America,32,201,108,M,1/21/1980,1,,0,0,0,0,Water Polo,Men's Water Polo
Troy Dumais,United States of America,32,168,68,M,1/21/1980,1,Ventura (USA),0,0,1,1,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
Amy Cotton,Canada,32,180,78,F,1/22/1980,1,ANTIGONISH (CAN),0,0,0,0,Judo,Women's -78kg
Jose Ruiz Durango,Venezuela,32,187,83,M,1/22/1980,1,MARACAIBO (VEN),0,0,0,0,Sailing,Men's Laser
Phil Dalhausser,United States of America,32,206,91,M,1/26/1980,1,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Aboubakr Seddik Lbida,Morocco,32,,,M,1/26/1980,1,HAY HASSANI (MAR),0,0,0,0,Boxing,Men's Bantam (56kg)
Emmanuel Leroy,Belgium,32,188,79,M,1/27/1980,1,,0,0,0,0,Hockey,Men's Hockey
Andreas Toelzer,Germany,32,192,145,M,1/27/1980,1,Bonn (GER),0,0,1,1,Judo,Men's +100kg
Jong Bok Cha,Republic of Korea,32,179,75,M,1/29/1980,1,,0,0,0,0,Hockey,Men's Hockey
Ingimundur Ingimundarson,Iceland,32,188,95,M,1/29/1980,1,,0,0,0,0,Handball,Men's Handball
Shaimaa Elgammal,Egypt,32,171,56,F,1/30/1980,1,,0,0,0,0,Fencing,"Women's Individual Foil, Women's Team Foil"
Yvonne Leuthold,Great Britain,32,176,74,F,1/30/1980,1,,0,0,0,0,Handball,Women's Handball
Sergey Fedorovtsev,Russian Federation,32,191,92,M,1/31/1980,1,,0,0,0,0,Rowing,Men's Quadruple Sculls
Bojan Jovanovic,Croatia,32,,,M,1/31/1980,1,,0,0,0,0,Fencing,Men's Individual Foil
Petar Cupac,Croatia,32,182,76,M,2/1/1980,2,ZADAR (CRO),0,0,0,0,Sailing,Men's 49er
Keitani Graham,Federated States of Micronesia,32,173,84,M,2/1/1980,2,HAWAII (USA),0,0,0,0,Wrestling,Men's 84kg Greco-Roman
Josiah Ng Onn Lam,Malaysia,32,174,70,M,2/2/1980,2,PHILIPPINES (PHI),0,0,0,0,Cycling - Track,"Men's Sprint, Men's Keirin"
Madai Perez,Mexico,32,158,45,F,2/2/1980,2,HUEYOTLIPAN (MEX),0,0,0,0,Athletics,Women's Marathon
Yared Asmerom,Eritrea,32,171,58,M,2/4/1980,2,Asmara (ERI),0,0,0,0,Athletics,Men's Marathon
Kyle Pontifex,New Zealand,32,186,95,M,2/5/1980,2,,0,0,0,0,Hockey,Men's Hockey
Yvonne Frank,Germany,32,182,78,F,2/7/1980,2,Duisburg (GER),0,0,0,0,Hockey,Women's Hockey
Sudket Prapakamol,Thailand,32,173,65,M,2/8/1980,2,CHON BURI,0,0,0,0,Badminton,Mixed Doubles
El-Sayed Lashin,Egypt,32,175,80,M,2/9/1980,2,Alexandria (EGY),0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Anna Laurell,Sweden,32,184,,F,2/12/1980,2,HYBY (SWE),0,0,0,0,Boxing,Women's Middle (75kg)
Drew Sullivan,Great Britain,32,202,98,M,2/12/1980,2,,0,0,0,0,Basketball,Men's Basketball
Irina Karpova,Kazakhstan,32,177,60,F,2/13/1980,2,Almaty (KAZ),0,0,0,0,Athletics,Women's Heptathlon
Maja Neuenschwander,Switzerland,32,168,55,F,2/13/1980,2,Bern (SUI),0,0,0,0,Athletics,Women's Marathon
Nicholas Santos,Brazil,32,,87,M,2/14/1980,2,RIBEIRAO PRETO (BRA),0,0,0,0,Swimming,Men's 4x100m Freestyle Relay
Soniya Chanu Ngangbam,India,32,149,48,F,2/15/1980,2,IMPHAL WEST,0,0,0,0,Weightlifting,Women's 48kg
Peter Hudnut,United States of America,32,196,102,M,2/16/1980,2,,0,0,0,0,Water Polo,Men's Water Polo
Ivan Pastor Lafuente,Spain,32,175,69,M,2/18/1980,2,ALICANTE (ESP),0,0,0,0,Sailing,Men's RS-X
Spyridon Gianniotis,Greece,32,185,72,M,2/19/1980,2,Liverpool (GBR),0,0,0,0,Swimming,Men's 10km Marathon
Cassio Rivetti,Ukraine,32,175,65,M,2/20/1980,2,SAO PAOLO (BRA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, TEMPLE ROAD"
Eoin Rheinisch,Ireland,32,182,74,M,2/21/1980,2,Dublin (IRL),0,0,0,0,Canoe Slalom,Men's Kayak (K1)
Jenni Mikkonen,Finland,32,174,67,F,2/24/1980,2,,0,0,0,0,Canoe Sprint,Women's Kayak Single (K1) 200m
Roman Sludnov,Russian Federation,32,188,84,M,2/24/1980,2,Omsk (RUS),0,0,0,0,Swimming,Men's 100m Breaststroke
Ariel Suarez,Argentina,32,190,94,M,2/24/1980,2,,0,0,0,0,Rowing,Men's Double Sculls
Marisa Barros,Portugal,32,160,50,F,2/25/1980,2,PORTO (POR),0,0,0,0,Athletics,Women's Marathon
Natalia Romero,Chile,32,162,55,F,2/26/1980,2,TALAGANTE (CHI),0,0,0,0,Athletics,Women's Marathon
Debbie Flood,Great Britain,32,177,75,F,2/27/1980,2,,0,0,0,0,Rowing,Women's Quadruple Sculls
Artem Morozov,Ukraine,32,195,104,M,2/29/1980,2,,0,0,0,0,Rowing,Men's Double Sculls
Gabriela Trana,Costa Rica,32,164,50,F,3/3/1980,3,ALAJUELA (CRC),0,0,0,0,Athletics,Women's Marathon
Rohan Bopanna,India,32,,,M,3/4/1980,3,,0,0,0,0,Tennis,Men's Doubles
Alex Garcia,Brazil,32,192,102,M,3/4/1980,3,,0,0,0,0,Basketball,Men's Basketball
Andrea Bari,Italy,32,185,74,M,3/5/1980,3,SENIGALLIA (ITA),0,0,0,0,Volleyball,Men's Volleyball
Peter Jensen,Denmark,32,177,,M,3/5/1980,3,Kobenhavn (DEN),0,0,0,0,Trampoline,Men's Trampoline
Dong-Young Kim,Republic of Korea,32,176,65,M,3/6/1980,3,BUSAN (KOR),0,0,0,0,Athletics,Men's 50km Race Walk
Fabiana Oliveira,Brazil,32,166,56,F,3/7/1980,3,,0,0,0,0,Volleyball,Women's Volleyball
Eric Gillis,Canada,32,172,58,M,3/8/1980,3,ANTIGONISH (CAN),0,0,0,0,Athletics,Men's Marathon
Karl Markt,Austria,32,182,75,M,3/8/1980,3,Zams (AUT),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Sofya Konukh,Russian Federation,32,173,61,F,3/9/1980,3,,0,0,0,0,Water Polo,Women's Water Polo
